Promo_ID,Promo_Name,Image_URL,Target_URL,Duration_Seconds,Active,Priority,Start_Date,End_Date,Notes
P_001,WAGE: CRIMSON STREETZ (GAME),"https://img1.wsimg.com/isteam/ip/66346018-a135-44dc-ba7b-d66b57d3658f/WAGE%20BACK%200.png/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:1200,cg:true",https://urbaninteractiveadventures.com/wage%3A-crimson-streetz,5,Yes,1,2026-02-01,2028-12-31,Example: premium 10-second slot
P_002,GINGER FUEL (Performance without the salt),https://i.imgur.com/Cl3paSD.png[/img],https://urbaninteractiveadventures.com/ginger-fuel,5,Yes,2,2026-02-01,2028-12-31,Example: short rotation slot
P_003,The Uprooted Seed: (Book Of Esa),https://m.media-amazon.com/images/I/61pDlcQXyQL._SY522_.jpg,https://www.amazon.com/gp/product/B0F2GSH52N?ref_=dbs_m_mng_rwt_calw_tpbk_0&storeType=ebooks,5,Yes,3,2026-02-01,2028-12-31,Example: short rotation slot
P_004,$WAGE TOKEN,"https://img1.wsimg.com/isteam/ip/66346018-a135-44dc-ba7b-d66b57d3658f/WAGE%20WA.png/:/rs=w:1200,h:600,cg:true,m/cr=w:1200,h:600",https://urbaninteractiveadventures.com/%24wage-token,5,Yes,4,2026-02-01,2028-12-31,Example: short rotation slot
P_005,THE SHEPHERD WALKS ALONE: (The Badger),https://m.media-amazon.com/images/I/81HX-BqgFGL._SY522_.jpg,https://www.amazon.com/gp/product/B0F4KYC29D?ref_=dbs_m_mng_rwt_calw_tpbk_1&storeType=ebooks,5,Yes,5,2026-02-01,2028-12-31,Example: short rotation slot
P_006,T.S.O.S (The Secrets Of Society),https://f4.bcbits.com/img/a1092383289_16.jpg,https://urbaninteractiveadventures.com/archives,5,Yes,6,2026-02-01,2028-12-31,Example: short rotation slot
P_007,"The Landlord’s Penny: ""A cinematic adaptation""",https://m.media-amazon.com/images/I/71e+DzgFvUL._SY522_.jpg,https://www.amazon.com/gp/product/B0F5HSZ279?ref_=dbs_m_mng_rwt_calw_tpbk_2&storeType=ebooks,5,Yes,7,2026-02-01,2028-12-31,Example: short rotation slot
